"","GEOID","NAME","total_popE","total_popM","incomeE","incomeM","whiteE","whiteM","blackE","blackM","nativeE","nativeM","asianE","asianM","PIE","PIM","HispE","HispM","summary_est","summary_moe","geometry","Wpercent","Bpercent","Npercent","Apercent","PIpercent","Hpercent"
"21","31055007468","Census Tract 74.68; Douglas County; Nebraska",2331,293,73077,13831,1753,273,87,89,0,10,0,10,0,10,436,207,2331,293,list(c(-96.043018, -96.038901, -96.031899, -96.023794, -96.023773, -96.023814, -96.024882, -96.033318, -96.033831, -96.042911, -96.043016, -96.043018, 41.198557, 41.199494, 41.199345, 41.199048, 41.193445, 41.190697, 41.190642, 41.190716, 41.190713, 41.190686, 41.19839, 41.198557)),75.2037752037752,3.73230373230373,0,0,0,18.7044187044187
"22","31055006806","Census Tract 68.06; Douglas County; Nebraska",2452,245,54429,12013,1653,257,381,201,0,10,282,146,0,10,72,65,2452,245,list(c(-96.042581, -96.040803, -96.039363, -96.033476, -96.02393, -96.023927, -96.023945, -96.023902, -96.023928, -96.024384, -96.025753, -96.028835, -96.033496, -96.038825, -96.038805, -96.04145, -96.042581, 41.239677, 41.243243, 41.248799, 41.248787, 41.248778, 41.248531, 41.246928, 41.243349, 41.234511, 41.234422, 41.234296, 41.234261, 41.234279, 41.234273, 41.236609, 41.236609, 41.239677)),67.4143556280587,15.5383360522023,0,11.5008156606852,0,2.93637846655791
"23","31055004000","Census Tract 40; Douglas County; Nebraska",3409,413,36328,11257,1972,378,369,157,0,10,30,35,0,10,865,436,3409,413,list(c(-95.961618, -95.956614, -95.946889, -95.946914, -95.947031, -95.947023, -95.953898, -95.961397, -95.961393, -95.961395, -95.961618, 41.259743, 41.259758, 41.259771, 41.256612, 41.253112, 41.252394, 41.252414, 41.252401, 41.25421, 41.256703, 41.259743)),57.8468759166911,10.8242886476973,0,0.880023467292461,0,25.3740099735993
"24","31055007406","Census Tract 74.06; Douglas County; Nebraska",5854,1372,69795,16906,4955,1398,59,57,7,11,88,75,0,15,617,314,5854,1372,list(c(-96.138629, -96.138622, -96.130398, -96.129073, -96.119575, -96.119537, -96.119534, -96.119519, -96.119498, -96.127301, -96.129198, -96.138587, -96.13865, -96.138629, 41.240825, 41.248593, 41.248608, 41.248612, 41.248635, 41.241825, 41.241346, 41.238935, 41.234089, 41.234006, 41.233988, 41.233848, 41.238062, 41.240825)),84.642979159549,1.00785787495729,0.119576358045781,1.5032456440041,0,10.5398018448924
"25","31055007424","Census Tract 74.24; Douglas County; Nebraska",3211,418,53563,8882,2331,331,412,236,2,6,43,51,0,10,179,128,3211,418,list(c(-96.076154, -96.075752, -96.071277, -96.068172, -96.064432, -96.055874, -96.05261, -96.052613, -96.062148, -96.064634, -96.076132, -96.076154, 41.28297, 41.286071, 41.285152, 41.285078, 41.285054, 41.285068, 41.285067, 41.277798, 41.277784, 41.277796, 41.277804, 41.28297)),72.5942074120212,12.8308938025537,0.0622858922454064,1.33914668327624,0,5.57458735596387
"26","31055007506","Census Tract 75.06; Douglas County; Nebraska",3673,513,108816,20314,3114,455,14,23,0,10,281,191,0,10,108,92,3673,513,list(c(-96.28315, -96.276929, -96.273014, -96.268217, -96.268037, -96.261002, -96.254148, -96.248354, -96.245367, -96.237378, -96.23438, -96.234488, -96.234487, -96.234582, -96.234469, -96.234463, -96.234476, -96.24256, -96.251927, -96.254459, -96.256569, -96.262607, -96.264123, -96.267712, -96.272848, -96.274122, -96.276644, -96.275851, -96.275586, -96.275399, -96.276483, -96.281858, -96.282383, -96.28315, 41.293631, 41.294702, 41.294765, 41.294704, 41.294702, 41.294446, 41.292989, 41.291676, 41.291721, 
41.291928, 41.29191, 41.281636, 41.281282, 41.277318, 41.27687, 41.273837, 41.262803, 41.262794, 41.263687, 41.263675, 41.263683, 41.263607, 41.26357, 41.26774, 41.271181, 41.272791, 41.279507, 41.283758, 41.284313, 41.286468, 41.28818, 41.292048, 41.29249, 41.293631)),84.7808331064525,0.381159814865233,0,7.65042199836646,0,2.94037571467465
"27","31055007450","Census Tract 74.50; Douglas County; Nebraska",3167,239,91402,15606,2809,237,27,32,0,10,0,10,0,10,180,102,3167,239,list(c(-96.176908, -96.176852, -96.166626, -96.164262, -96.161637, -96.161237, -96.161149, -96.160816, -96.158738, -96.165056, -96.171893, -96.176863, -96.176908, 41.242748, 41.248514, 41.248497, 41.246072, 41.242284, 41.240902, 41.240049, 41.237095, 41.233967, 41.233988, 41.234022, 41.23415, 41.242748)),88.6959267445532,0.852541837701295,0,0,0,5.68361225134196
"28","31055007446","Census Tract 74.46; Douglas County; Nebraska",4063,440,165179,27796,3754,441,10,16,0,10,51,47,0,10,136,50,4063,440,list(c(-96.177243, -96.17705, -96.177017, -96.177092, -96.175547, -96.158032, -96.157993, -96.157963, -96.15796, -96.157857, -96.162943, -96.166626, -96.176852, -96.17701, -96.177227, -96.177443, -96.177243, 41.259807, 41.259994, 41.260076, 41.262923, 41.262933, 41.263048, 41.260102, 41.258162, 41.25502, 41.248537, 41.248518, 41.248497, 41.248514, 41.258757, 41.259341, 41.259692, 41.259807)),92.3947821806547,0.24612355402412,0,1.25523012552301,0,3.34728033472803
"29","31055000700","Census Tract 7; Douglas County; Nebraska",1207,250,30250,11777,207,105,928,194,0,10,0,10,0,10,28,50,1207,250,list(c(-95.956553, -95.956556, -95.95195, -95.946954, -95.946987, -95.956558, -95.956553, 41.294134, 41.299571, 41.2996, 41.299619, 41.289207, 41.28915, 41.294134)),17.1499585749793,76.8848384424192,0,0,0,2.31980115990058
"30","31055001100","Census Tract 11; Douglas County; Nebraska",2702,494,26827,13191,636,368,1596,347,0,10,0,10,0,10,275,126,2702,494,list(c(-95.9566, -95.956566, -95.956562, -95.956556, -95.956558, -95.946987, -95.946989, -95.947001, -95.947033, -95.947028, -95.947024, -95.956512, -95.956572, -95.9566, 41.272853, 41.276478, 41.281453, 41.288692, 41.28915, 41.289207, 41.288754, 41.285138, 41.276526, 41.27199, 41.267964, 41.267948, 41.268471, 41.272853)),23.5381199111769,59.0673575129534,0,0,0,10.1776461880089
"31","31055002100","Census Tract 21; Douglas County; Nebraska",2413,409,45260,12909,972,278,127,93,38,50,14,18,0,10,1065,222,2413,409,list(c(-95.937353, -95.937336, -95.937242, -95.934664, -95.93328, -95.930596, -95.930721, -95.930745, -95.932044, -95.937358, -95.937353, 41.238205, 41.24286, 41.24806, 41.248117, 41.249163, 41.249142, 41.242854, 41.23693, 41.236936, 41.23696, 41.238205)),40.2818068794032,5.26315789473684,1.5748031496063,0.580190634065479,0,44.1359303771239
"32","31055003402","Census Tract 34.02; Douglas County; Nebraska",2725,585,82586,11455,1765,284,22,25,0,10,0,10,0,10,854,534,2725,585,list(c(-95.969805, -95.966184, -95.964297, -95.964289, -95.964279, -95.960329, -95.960335, -95.957808, -95.954479, -95.954244, -95.956039, -95.957439, -95.960082, -95.962593, -95.96394, -95.964156, -95.965603, -95.966349, -95.966538, -95.967785, -95.969805, 41.241504, 41.241502, 41.241501, 41.239971, 41.237861, 41.23785, 41.236553, 41.23654, 41.236207, 41.235528, 41.229582, 41.228235, 41.227325, 41.226894, 41.229268, 41.230307, 41.233763, 41.234762, 41.235764, 41.237861, 41.241504)),64.7706422018349,0.807339449541284,0,0,0,31.3394495412844
"33","31055004400","Census Tract 44; Douglas County; Nebraska",1362,182,57609,12497,1050,163,55,45,0,10,42,37,0,10,156,95,1362,182,list(c(-95.990254, -95.985422, -95.985423, -95.980433, -95.975752, -95.975775, -95.97578, -95.975784, -95.983259, -95.987924, -95.990205, -95.990217, -95.990254, 41.25606, 41.256108, 41.259693, 41.259675, 41.259659, 41.256021, 41.252405, 41.248768, 41.248772, 41.248791, 41.248786, 41.252409, 41.25606)),77.0925110132159,4.03817914831131,0,3.08370044052863,0,11.4537444933921
"34","31055007316","Census Tract 73.16; Douglas County; Nebraska",4028,416,157661,25681,3293,323,263,276,0,10,256,201,0,10,120,90,4028,416,list(c(-96.158255, -96.148594, -96.14611, -96.143513, -96.142499, -96.138867, -96.13886, -96.138852, -96.143639, -96.144281, -96.15369, -96.158047, -96.158168, -96.158255, 41.321065, 41.321095, 41.321098, 41.321101, 41.321102, 41.321106, 41.317699, 41.306591, 41.306589, 41.306587, 41.30656, 41.306548, 41.31649, 41.321065)),81.7527308838133,6.52929493545184,0,6.35551142005958,0,2.97914597815293
"35","31055007515","Census Tract 75.15; Douglas County; Nebraska",5270,412,152045,12771,4413,512,72,73,32,42,282,137,0,15,328,239,5270,412,list(c(-96.234427, -96.215708, -96.215471, -96.196139, -96.196236, -96.19633, -96.205916, -96.211016, -96.215497, -96.221536, -96.234339, -96.234427, 41.23391, 41.233926, 41.233924, 41.234286, 41.226784, 41.219434, 41.219392, 41.219375, 41.219361, 41.219342, 41.219302, 41.23391)),83.7381404174573,1.36622390891841,0.607210626185958,5.35104364326376,0,6.22390891840607
"36","31055006606","Census Tract 66.06; Douglas County; Nebraska",2860,590,64331,10948,2372,578,227,246,0,10,14,27,9,21,103,76,2860,590,list(c(-96.05261, -96.047805, -96.047338, -96.04576, -96.043508, -96.044105, -96.041068, -96.040332, -96.036291, -96.037589, -96.046011, -96.047713, -96.052533, -96.05257, -96.052592, -96.052613, -96.05261, 41.285067, 41.285071, 41.280109, 41.277855, 41.275566, 41.272385, 41.27056, 41.26871, 41.263302, 41.263305, 41.263301, 41.263437, 41.26334, 41.270559, 41.274184, 41.277798, 41.285067)),82.9370629370629,7.93706293706294,0,0.48951048951049,0.314685314685315,3.6013986013986
"37","31055007523","Census Tract 75.23; Douglas County; Nebraska",2252,289,194461,7835,1911,312,0,10,0,10,52,55,0,10,99,112,2252,289,list(c(-96.234476, -96.21563, -96.215609, -96.215595, -96.215559, -96.215537, -96.215488, -96.215488, -96.225061, -96.234421, -96.234476, -96.234482, -96.234476, 41.262803, 41.26294, 41.260894, 41.259465, 41.255681, 41.253433, 41.248502, 41.248406, 41.24835, 41.248294, 41.254884, 41.257347, 41.262803)),84.8579040852576,0,0,2.30905861456483,0,4.39609236234458
"38","31055007522","Census Tract 75.22; Douglas County; Nebraska",1825,457,188036,54049,1374,315,0,10,0,10,106,109,8,13,213,246,1825,457,list(c(-96.23446, -96.215648, -96.196442, -96.19666, -96.196666, -96.215881, -96.219873, -96.223138, -96.23438, -96.23438, -96.234401, -96.23446, 41.306326, 41.306352, 41.30645, 41.292347, 41.291966, 41.292017, 41.292028, 41.292021, 41.29191, 41.292125, 41.29729, 41.306326)),75.2876712328767,0,0,5.80821917808219,0.438356164383562,11.6712328767123
"39","31055005300","Census Tract 53; Douglas County; Nebraska",2332,394,32382,3720,380,177,1169,274,17,13,237,144,0,10,354,151,2332,394,list(c(-95.977999, -95.976716, -95.975869, -95.975743, -95.975753, -95.972311, -95.972311, -95.972143, -95.956556, -95.956562, -95.966068, -95.966091, -95.966112, -95.966108, -95.972689, -95.974894, -95.977242, -95.977273, -95.977999, 41.274147, 41.27419, 41.277274, 41.277805, 41.281422, 41.281411, 41.28392, 41.288663, 41.288692, 41.281453, 41.281393, 41.277733, 41.276445, 41.273129, 41.273156, 41.27316, 41.27216, 41.273149, 41.274147)),16.295025728988,50.1286449399657,0.728987993138937,10.1629502572899,0,15.180102915952
"40","31055006202","Census Tract 62.02; Douglas County; Nebraska",5236,820,57120,4150,2328,351,1465,411,23,27,65,82,0,15,671,328,5236,820,list(c(-95.973329, -95.97332, -95.971181, -95.971517, -95.969653, -95.971933, -95.963797, -95.961702, -95.959595, -95.957767, -95.957065, -95.956646, -95.956532, -95.956544, -95.956525, -95.956551, -95.956555, -95.966103, -95.966085, -95.966129, -95.966042, -95.966154, -95.966698, -95.967587, -95.967412, -95.966866, -95.968957, -95.97333, -95.973329, 41.329225, 41.332891, 41.333278, 41.334469, 41.334767, 41.343468, 41.343152, 41.340861, 41.333427, 41.326916, 41.324409, 41.322917, 41.322146, 41.320675, 
41.31757, 41.315755, 41.312127, 41.312134, 41.31576, 41.318804, 41.319378, 41.321175, 41.324596, 41.325945, 41.326922, 41.327292, 41.32796, 41.327425, 41.329225)),44.4614209320092,27.9793735676089,0.439266615737204,1.24140565317036,0,12.8151260504202
"41","31055007101","Census Tract 71.01; Douglas County; Nebraska",3507,461,62500,17790,2033,370,20,25,0,10,0,10,0,10,1389,265,3507,461,list(c(-96.023859, -96.004672, -95.995562, -95.990772, -95.976391, -95.976809, -95.977885, -95.979128, -95.986555, -95.993761, -95.996169, -96.004681, -96.023769, -96.023776, -96.023859, 41.212496, 41.212458, 41.212505, 41.212536, 41.212599, 41.207699, 41.205615, 41.205457, 41.205312, 41.205273, 41.205262, 41.205214, 41.205283, 41.208904, 41.212496)),57.9697747362418,0.570287995437696,0,0,0,39.606501283148
"42","31055006803","Census Tract 68.03; Douglas County; Nebraska",1840,209,87926,13198,1508,207,94,50,10,15,9,11,0,10,131,79,1840,209,list(c(-96.100692, -96.100673, -96.100654, -96.091038, -96.086391, -96.085085, -96.085836, -96.086599, -96.091098, -96.100696, -96.100692, 41.240913, 41.241389, 41.24864, 41.248695, 41.24871, 41.248704, 41.242483, 41.234157, 41.234122, 41.234029, 41.240913)),81.9565217391304,5.10869565217391,0.543478260869565,0.489130434782609,0,7.1195652173913
"43","31055002700","Census Tract 27; Douglas County; Nebraska",2520,431,48250,13085,493,127,104,124,0,10,0,10,0,10,1849,371,2520,431,list(c(-95.947051, -95.941775, -95.941779, -95.933335, -95.929201, -95.92563, -95.9246588872832, -95.924891, -95.924954718865, -95.927491, -95.9274848781543, -95.930097, -95.933682, -95.93604, -95.936206, -95.941783, -95.943038, -95.947065, -95.947051, 41.212249, 41.212242, 41.212942, 41.212954, 41.212997, 41.212284, 41.211477482659, 41.211198, 41.2109774346983, 41.202198, 41.2021714896754, 41.202306, 41.202098, 41.202062, 41.203753, 41.203765, 41.205585, 41.205593, 41.212249)),19.5634920634921,4.12698412698413,0,0,0,73.3730158730159
"44","31055007318","Census Tract 73.18; Douglas County; Nebraska",9310,610,133724,8452,8545,631,215,164,9,10,61,82,0,15,295,188,9310,610,list(c(-96.206553, -96.196903, -96.197007, -96.197011, -96.184313, -96.170273, -96.165511, -96.158427, -96.158415, -96.158393, -96.158399, -96.158477, -96.158438, -96.158346, -96.158255, -96.158168, -96.158047, -96.162851, -96.167649, -96.168923, -96.17726, -96.182066, -96.186819, -96.196442, -96.197327, -96.196692, -96.206257, -96.206399, -96.206437, -96.206553, 41.349946, 41.349946, 41.364472, 41.393136, 41.39315, 41.393159, 41.393157, 41.393164, 41.37208, 41.362399, 41.360963, 41.342223, 41.335572, 
41.328343, 41.321065, 41.31649, 41.306548, 41.306538, 41.306529, 41.306527, 41.3065, 41.306487, 41.306474, 41.30645, 41.319816, 41.320927, 41.320924, 41.335434, 41.339073, 41.349946)),91.7830290010741,2.3093447905478,0.0966702470461869,0.655209452201933,0,3.16863587540279
"45","31055007438","Census Tract 74.38; Douglas County; Nebraska",1859,190,102585,8030,1792,190,0,10,0,10,10,13,0,10,57,52,1859,190,list(c(-96.138873, -96.128319, -96.119645, -96.119604, -96.119587, -96.124403, -96.129319, -96.138808, -96.138842, -96.138852, -96.138873, 41.292177, 41.292035, 41.292197, 41.280132, 41.277618, 41.277639, 41.277636, 41.277663, 41.28508, 41.287537, 41.292177)),96.3959117805272,0,0,0.537923614846692,0,3.06616460462614
